"authors","title","complete_ds_ubib","year","fachbereich_ubib","institut_ubib","institut_short","subject_area","genre_ubib","year_ubib","doi","link","oa_status_bib","oa_status_bib_binary","oa_status_bib_true_false","oa_status_manual","oa_status_manual_binary","oa_status_manual_true_false","oa_status_unpaywall_api","license_bib","license_manual","journal_name","publisher"
"Steele, A.;Benning, Liane G.;Wirth, R.;Schreiber, A.;Araki, T.;McCubbin, F. M.;Fries, M. D.;Nittler, L. R.;Wang, J.;Hallis, L. J.;Conrad, P. G.;Conley, C.;Vitale, S.;O'Brien, A. C.;Riggi, V.;Rogers, K.","Organic synthesis associated with serpentinization and carbonation on early Mars","Science. - Washington, DC: AAAS, American Association for the Advancement of Science, 375, 2022, 6577, Seite 172-177, . - 0036-8075.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1126/science.abg7905","http://dx.doi.org/10.1126/science.abg7905","Open Access","open","TRUE","bronze","closed","FALSE","FALSE","all rights reserved","no CC license","Science","AAAS"
"Halbach, Laura;Chevrollier, Lou-Anne;Doting, Eva L.;Cook, Joseph M.;Jensen, Marie B.;Benning, Liane G.;Bradley, James A.;Hansen, Martin;Lund-Hansen, Lars C.;Markager, Stiig;Sorrell, Brian K.;Tranter, Martyn;Trivedi, Christopher B.;Winkel, Matthias;Anesio, Alexandre M.","Pigment signatures of algal communities and their implications for glacier surface darkening","Scientific reports. - London: Macmillan Publishers Limited, part of Springer Nature, 12, 2022, 1, Artikel 17643 (14 Seiten), . - 2045-2322.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1038/s41598-022-22271-4","http://dx.doi.org/10.1038/s41598-022-22271-4","Open Access","open","TRUE","gold","open","TRUE","TRUE","cc-by 4.0","cc-by","scientific reports","Springer"
"Andreasen, Jens Wenzel;Bowers, Jake W.;Breternitz, Joachim;Dale, Phillip J.;Dimitrievska, Mirjana;Fermin, David J.;Ganose, Alex;Gurieva, Galina;Hages, Charles J.;Hawkins, Cara;Hobson, Theodore D. C.;Jaramillo, Rafael;Kavanagh, Seán R.;Major, Jonathan D.;Mandati, Sreekanth;Mitzi, David B.;Naylor, Matthew C.;Platzer Björkman, Charlotte;Scanlon, David O.;Schorr, Susan;Scragg, Jonathan J. S.;Shin, Byungha;Siebentritt, Susanne;Sood, Mohit;Sopiha, Kostiantyn V.;Sutton, Matthew;Tiwari, Devendra;Unold, Thomas;Valdes, Matias;Wang, Mingqing;Weiss, Thomas P.;Woods-Robinson, Rachel","Indium-free CIGS analogues general discussion","Faraday discussions. - Cambridge: Royal Society of Chemistry, 239, 2022, Seite 85-111, . - 1359-6640.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1039/d2fd90055f","http://dx.doi.org/10.1039/D2FD90055F",NA,"no status","no status","green","open","TRUE","TRUE","cc-by-nc-nd 3.0","cc-by-nc-nd","Faraday Discussions","Royal Society of Chemistry"
"Barrote, Vitor R.;Volante, Silvia;Blereau, Eleanore R.;Rosière, Carlos A.;Spencer, Christopher J.","Implications of the dominant LP-HT deformation in the Guanhí£es Block for the Araí§uaí West-Congo Orogen evolution","Gondwana research. - Amsterdam: Elsevier, 107, 2022, Seite 154-175, . - 1342937X.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1016/j.gr.2022.03.012","http://dx.doi.org/10.1016/j.gr.2022.03.012",NA,"no status","no status","closed","closed","FALSE","FALSE","NA","no CC license","Gondwana Research","Elsevier"
"Nauny, Philippe;Cassaro, Alessia;Kopacz, Nina;Noack, Lena;Palabikyan, Hayk;Pinna, Silvana;Price, Alex;Stavrakakis, Hector A.;Taubner, Ruth-Sophie","Reaching out to early-career astrobiologists: AbGradE's actions and perspectives","International journal of astrobiology. - Cambridge: Cambridge University Press, 21, 2022, 5, Seite 268-277, . - 1475-3006.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1017/s1473550422000040","http://dx.doi.org/10.1017/S1473550422000040","Open Access","open","TRUE","hybrid","open","TRUE","TRUE","cc-by 4.0","cc-by","International Journal of Astrobiology","Cambridge University Press"
"Kusiak, Monika A.;Kovaleva, Elizaveta;Vanderliek, Dennis;Becker, Harry;Wilke, Franziska;Schreiber, Anja;Wirth, Richard","Nano- and micro-structures in lunar zircon from Apollo 15 and 16 impactites: implications for age interpretations","Contributions to mineralogy and petrology. - Berlin: Springer, 177, 2022, 12, Artikel 112 (20 Seiten), . - 0010-7999.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1007/s00410-022-01977-8","http://dx.doi.org/10.1007/s00410-022-01977-8","Open Access","open","TRUE","hybrid","open","TRUE","TRUE","cc-by 4.0","cc-by","Contributions to Mineralogy and Petrology","Springer"
"Hasenstab-Dübeler, Eric;Tusch, Jonas;Hoffmann, J. Elis;Fischer-Gödde, Mario;Szilas, Kristoffer;Münker, Carsten","Temporal evolution of 142Nd signatures in SW Greenland from high precision MC-ICP-MS measurements","Chemical geology. - New York, NY: Elsevier, 614, 2022, Artikel 121141 (20 Seiten), . - 0009-2541.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1016/j.chemgeo.2022.121141","http://dx.doi.org/10.1016/j.chemgeo.2022.121141",NA,"no status","no status","hybrid","open","TRUE","TRUE","cc-by-nc-nd 4.0","cc-by-nc-nd","Chemical Geology","Elsevier"
"Gurieva, Galina;Niedenzu, Sara;Siminel, Nikita;Franz, Alexandra;Schorr, Susan","The kesterite-stannite structural transition as a way to avoid Cu/Zn disorder in kesterites the exemplary case of the Cu2(Zn,Mn)SnSe4","Faraday discussions. - Cambridge: Royal Society of Chemistry, 239, 2022, Seite 51-69, . - 1359-6640.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1039/d2fd00042c","http://dx.doi.org/10.1039/D2FD00042C",NA,"no status","no status","hybrid","open","TRUE","TRUE","cc-by 4.0","cc-by","Faraday Discussions","Royal Society of Chemistry"
"Quanz, S. P.;Ottiger, M.;Fontanet, E.;Kammerer, J.;Menti, F.;Dannert, F.;Gheorghe, A.;Absil, O.;Airapetian, V. S.;Alei, E.;Allart, R.;Angerhausen, D.;Blumenthal, S.;Buchhave, L. A.;Cabrera, J.;Carrión-González, í“.;Chauvin, G.;Danchi, W. C.;Dandumont, C.;Defrére, D.;Dorn, C.;Ehrenreich, D.;Ertel, S.;Fridlund, M.;García Muí±oz, A.;Gascón, C.;Girard, J. H.;Glauser, A.;Grenfell, J. L.;Guidi, G.;Hagelberg, J.;Helled, R.;Ireland, M. J.;Janson, M.;Kopparapu, R. K.;Korth, J.;Kozakis, T.;Kraus, S.;Léger, A.;Leedjärv, L.;Lichtenberg, T.;Lillo-Box, J.;Linz, H.;Liseau, R.;Loicq, J.;Mahendra, V.;Malbet, F.;Mathew, J.;Mennesson, B.;Meyer, M. R.;Mishra, L.;Molaverdikhani, K.;Noack, Lena;Oza, A. V.;Pallé, E.;Parviainen, H.;Quirrenbach, A.;Rauer, Heike;Ribas, I.;Rice, M.;Romagnolo, A.;Rugheimer, S.;Schwieterman, E. W.;Serabyn, E.;Sharma, S.;Stassun, K. G.;Szulágyi, J.;Wang, H. S.;Wunderlich, Fabian;Wyatt, M. C.","Large interferometer for exoplanets (LIFE) 1. Improved exoplanet detection yield estimates for a large mid-infrared space-interferometer mission","Astronomy & astrophysics. - Les Ulis: EDP Sciences, 664, 2022, Artikel A21 (22 Seiten), . - 0004-6361.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.1051/0004-6361/202140366","http://dx.doi.org/10.1051/0004-6361/202140366",NA,"no status","no status","bronze","closed","FALSE","FALSE","all rights reserved","no CC license","Astronomy & Astrophysics","EDP schiences"
"Erdmann, Eileen A.;Nitsche, Sarah;Gorbushina, Anna A.;Schumacher, Julia","Genetic engineering of the rock inhabitant Knufia petricola provides insight into the biology of extremotolerant black fungi","Frontiers in fungal biology. - Lausanne: Frontiers Media S.A., 3, 2022, Artikel 862429 (19 Seiten), . - 2673-6128.",2022,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie","journal article",2022,"10.3389/ffunb.2022.862429","http://dx.doi.org/10.3389/ffunb.2022.862429",NA,"no status","no status","gold","open","TRUE","TRUE","cc-by 4.0","cc-by","Frontiers in fungal biology","Frontiers"
