"complete_ds_ubib","authors","title","pid","link","genre_ubib","genre_manual","year","year_ubib","fachbereich_ubib","institut_ubib","institut_short","subject_area","oa_status_bib","oa_status_bib_binary","oa_status_bib_true_false","oa_status_manual","oa_status_manual_binary","oa_status_manual_true_false","oa_status_unpaywall_api","license_bib","license_manual","publisher","journal_name"
"""(Beitrag in einem Buch) Denk, T.; Mottola, S.; Bottke, W. F.; Hamilton, D. P.: Phoebe and Saturn's captured outer moons / T. Denk, S. Mottola, W. F. Bottke, D. P. Hamilton.,  Enthalten in: Enceladus and the Icy Moons of Saturn (Veranstaltung) (2016 : Boulder, Colo.) Enceladus and the icy moons of Saturn : July 26-29, 2016, Boulder, Colorado : program / institutional support: Universities Space Research Association (USRA), Lunar and Planetary Institute (LPI) ; local organizing committee: Larry Esposito (University of Colorado), Carly Howett (Southwest Research Institute), Laura Bloom (University of Colorado) ; science organizing committee: Paul Schenk (Lunar and Planetary Institute) [und 23 weitere] Houston TX: Lunar and Planetary Institute, 2016 Abstract 3061 LPI contribution ; no. 1927, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Planetologie / Fernerkundung]""",NA,"phoebe and saturn's captured outer moons",NA,"https://www.hou.usra.edu/meetings/enceladus2016/pdf/3061.pdf","Beitrag in einem Buch","conference-abstract",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Planetologie / Fernerkundung",NA,"no status","no status","bronze","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Denk, T.; Spencer, J. R.; Roatsch, T.; Schmedemann, N.; Galuba, G. G.: Saturnian moon Iapetus - global albedo enigma and Cassini ISS observations / T. Denk, J. R. Spencer, T. Roatsch, N. Schmedemann, G. G. Galuba.,  Enthalten in: Enceladus and the Icy Moons of Saturn (Veranstaltung) (2016 : Boulder, Colo.) Enceladus and the icy moons of Saturn : July 26-29, 2016, Boulder, Colorado : program / institutional support: Universities Space Research Association (USRA), Lunar and Planetary Institute (LPI) ; local organizing committee: Larry Esposito (University of Colorado), Carly Howett (Southwest Research Institute), Laura Bloom (University of Colorado) ; science organizing committee: Paul Schenk (Lunar and Planetary Institute) [und 23 weitere] Houston TX: Lunar and Planetary Institute, 2016 Abstract 3063 LPI contribution ; no. 1927, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Planetologie / Fernerkundung]""",NA,"saturnian moon iapetus - global albedo enigma and cassini iss observations",NA,"https://www.hou.usra.edu/meetings/enceladus2016/pdf/3063.pdf","Beitrag in einem Buch","conference-abstract",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Planetologie / Fernerkundung",NA,"no status","no status","bronze","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Gasselt, Stephan van; Neesemann, Adrian: Re-assessing lunar surface ages : locations for future sample return missions / Stephan van Gasselt, Adrian Neesemann.,  Enthalten in: Asia Oceania Geosciences Society.  Meeting (13. : 2016 : Peking) AOGS 2016 : 13th annual meeting, 31 Jul to 5 Aug, Beijing / Asia Oceania Geosciences Society Singapore: AOGS Secretariat at Meeting Matters International, 2016 Abstract PS19-D3-PM1-301B(L3S)-010 (PS19-A020), [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Planetologie / Fernerkundung]""",NA,"re-assessing lunar surface ages: locations for future sample return missions",NA,NA,"Beitrag in einem Buch","conference-abstract",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Planetologie / Fernerkundung",NA,"no status","no status","closed","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Graf, Bernhard; Leinfelder, Reinhold; Trischler, Helmuth: Forschen. Museen als Orte der Wissensproduktion = Research : museums as a site of knowledge / Bernhard Graf, Reinhold Leinfelder, Helmuth Trischler.,  Enthalten in: Museen zwischen Qualität und Relevanz : Denkschrift zur Lage der Museen : Kurzfassungen = Museums between quality and relevance : Denkschrift on the state of Museums : abstracts für das Institut für Museumsforschung - Staatliche Museen zu Berlin und den Deutschen Museumsbund e.V. herausgegeben von Bernhard Graf und Volker Rodekamp 1. Auflage Berlin: Holy Verlag, 2016 Seite 43-44, 45-46 Berliner Schriften zur Museumsforschung ; 30, Sonderband, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Paläontologie]""",NA,"forschen. museen als orte der wissensproduktion = research: museums as a site of knowledge",NA,NA,"Beitrag in einem Buch","other",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Paläontologie",NA,"no status","no status","closed","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Halbach, Peter; Jahn, Andreas: Concentrations and metal potentials of REEs in marine polymetallic module and Co-rich crust deposits / Peter Halbach, Andreas Jahn.,  Enthalten in: West Pomerania Deep Sea Mining Conference (2016 : Szczecin) Deep sea mining value chain : organization, technology and development / edited by Tomasz Abramowski Szczecin: Interoceanmetal Joint Organization, 2016 Seite 119-131, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geochemie, Hydrogeologie, Mineralogie] ISBN 978-83-944323-1-7""",NA,"concentrations and metal potentials of rees in marine polymetallic module and co-rich crust deposits",NA,NA,"Beitrag in einem Buch","conference-paper",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie",NA,"no status","no status","bronze","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Incel, Sarah; Hilairet, Nadège; John, Timm; Labrousse, Loïc; Ferrand, Thomas Pascal; Deldicque, D.; Wang, Yanbin; Renner, Jörg; Morales, Luiz F. G.; Schubnel, Alexandre: Laboratory earthquakes triggered during the eclogitization of lawsonite bearing blueschist / Sarah Incel, Nadège Hilairet, Timm John, Loïc Labrousse, Thomas Pascal Ferrand, D. Deldicque, Yanbin Wang, Jörg Renner, Luiz F. G. Morales, Alexandre Schubnel.,  Enthalten in: American Geophysical Union. Fall Meeting (2016 : San Francisco, Calif.) AGU Fall Meeting : San Francisco, 12-16 December 2016 : 2016 fall meeting program Washington, DC: American Geophysical Union, 2016 Abstract S41B-2771, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geochemie, Hydrogeologie, Mineralogie]""",NA,"laboratory earthquakes triggered during the eclogitization of lawsonite bearing blueschist",NA,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/122132","Beitrag in einem Buch","conference-abstract",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie",NA,"no status","no status","bronze","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) John, Timm; Vrijmoed, J. C.: Hydration of eclogite at the plate interface : an example of fluid infiltration into a dry rock / Timm John, J. C. Vrijmoed.,  Enthalten in: European Mineralogical Conference (2. : 2016 : Rimini) Minerals, rocks and fluids: alphabet and words of planet Earth : book of abstracts / 2nd European Mineralogical Conference, 11-15 September 2016, Rimini, Italy, emc 2016 ; editors: Bernardo Carmina and Marco Pasero [Rimini?], 2016 Seite 132, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geochemie, Hydrogeologie, Mineralogie]""",NA,"hydration of eclogite at the plate interface: an example of fluid infiltration into a dry rock",NA,NA,"Beitrag in einem Buch","conference-abstract",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geochemie, Hydrogeologie, Mineralogie",NA,"no status","no status","closed","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Kilicer, Nastasja; Dinske, Carsten: Induced seismicity generated by numerical pore pressure modeling and poroelastic stress modeling : case study Unterhaching geothermal reservoir / Nastasja Kilicer, Carsten Dinske.,  Enthalten in: Deutsche Geophysikalische Gesellschaft. Jahrestagung (76. : 2016 : Münster (Westf.)) 76. Jahrestagung der Deutschen Geophysikalischen Gesellschaft gemeinsam mit der Arbeitsgemeinschaft Extraterrestrische Forschung und dem Fachverband Extraterrestrische Physik der Deutschen Physikalischen Gesellschaft : 14.-17. März 2016 in Münster / Veranstalter: Deutsche Geophysikalische Gesellschaft e.V. Münster: Westfälische Wilhelms-Universität Münster, Institut für Geophysik, 2016 Seite 249, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Geophysik]""",NA,"induced seismicity generated by numerical pore pressure modeling and poroelastic stress modeling: case study unterhaching geothermal reservoir","10.2312/dgg76","https://dgg-online.de/WordPress_01/wp-content/uploads/2016/07/DGG-2016-Abstractband.pdf","Beitrag in einem Buch","conference-abstract",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Geophysik",NA,"no status","no status","bronze","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Leinfelder, Reinhold: Das Haus der Zukunft (Berlin) als Ort der Partizipation / Reinhold Leinfelder.,  Enthalten in: Einblicke, Ausblicke, Weitblicke : aktuelle Perspektiven in der Zukunftsforschung / Reinhold Popp, gemeinsam mit Nele Fischer, Maria Heiskanen-Schüttler, Jana Holz, André Uhl 1. Auflage Wien: LIT Verlag GmbH & Co. KG, 2016 Seite 74-93, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Paläontologie]""",NA,"das haus der zukunft (berlin) als ort der partizipation",NA,"https://www.lit-verlag.de/isbn/978-3-643-90663-2","Beitrag in einem Buch","book-chapter",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Paläontologie",NA,"no status","no status","closed","closed","FALSE","FALSE","no license","no CC license",NA,NA
"""(Beitrag in einem Buch) Leinfelder, Reinhold; Haum, Rüdiger: Die Reise ins Anthropozän / Reinhold Leinfelder, Rüdiger Haum.,  Enthalten in: Unter 2 Grad? : Was der Weltklimavertrag wirklich bringt / Jörg Sommer, Michael Müller (Hrsg.) Stuttgart: S. Hirzel Verlag, 2016 Seite 132-141, [FB Geowissenschaften, Institut für Geologische Wissenschaften (WE 1), Fachrichtung Paläontologie] eISBN 978-3-7776-2573-7""",NA,"die reise ins anthropozän",NA,"https://www.hirzel.de/unter-2-grad/9783777625706","Beitrag in einem Buch","book-chapter",2016,2016,"FB Geowissenschaften","Geologische Wissenschaften (WE 1)","WE 1","Fachrichtung Paläontologie",NA,"no status","no status","closed","closed","FALSE","FALSE","no license","no CC license",NA,NA
